,DP03_0096PE,DP03_0097PE,DP03_0098PE,DP03_0099PE,NAME,state,DP03_0101PE,DP03_0106PE,DP03_0107PE,DP03_0108PE,DP03_0111PE,DP03_0112PE,DP03_0113PE,DP03_0116PE,DP03_0117PE,DP03_0118PE
0,89.9,66.9,36.6,10.1,Alabama,01,3.1,84.1,6.4,12.4,39.3,22.1,42.5,50.5,41.8,17.2
1,85.1,67.0,28.7,14.9,Alaska,02,10.6,78.5,10.0,16.0,39.3,27.7,40.1,53.1,31.9,22.1
2,89.2,62.8,38.5,10.8,Arizona,04,8.3,76.1,13.1,13.6,35.3,43.8,24.5,48.5,42.6,15.3
3,90.5,61.3,42.1,9.5,Arkansas,05,4.9,79.3,11.6,12.1,35.4,36.4,31.3,44.0,49.1,14.7
4,91.4,62.5,38.0,8.6,California,06,3.3,76.1,14.8,11.2,39.7,42.6,20.5,49.2,43.3,12.6
5,91.9,70.4,32.0,8.1,Colorado,08,4.2,80.8,11.4,10.4,44.8,39.1,20.0,57.9,37.1,11.5
6,94.0,71.9,33.5,6.0,Connecticut,09,3.3,83.5,11.4,7.0,40.3,45.2,16.6,56.6,38.0,10.2
7,94.1,71.3,37.4,5.9,Delaware,10,3.0,83.0,12.7,6.9,42.9,45.4,15.2,54.7,41.8,10.6
8,96.2,70.5,35.0,3.8,District of Columbia,11,1.5,86.3,12.0,3.8,32.3,59.5,11.3,49.9,48.9,6.7
9,86.7,61.8,37.3,13.3,Florida,12,6.9,77.2,7.9,17.2,37.0,25.7,40.2,50.1,35.5,21.1
10,86.1,65.3,30.9,13.9,Georgia,13,6.7,80.4,5.3,16.3,41.9,18.3,42.0,51.2,32.9,23.1
11,96.0,76.5,33.5,4.0,Hawaii,15,1.6,89.3,9.6,4.2,40.7,44.2,17.1,60.3,36.9,9.2
12,89.0,69.6,32.4,11.0,Idaho,16,5.8,81.6,6.2,15.3,47.6,23.7,34.5,59.3,33.7,15.7
13,92.9,69.8,33.8,7.1,Illinois,17,2.5,82.7,10.3,8.9,40.9,41.2,20.4,55.4,37.6,11.9
14,90.4,70.5,31.8,9.6,Indiana,18,6.7,83.5,7.3,11.3,41.5,29.9,31.2,54.7,37.9,14.3
15,95.0,76.2,33.6,5.0,Iowa,19,3.5,86.6,10.3,6.1,48.6,38.4,17.3,60.4,39.4,8.3
16,90.9,74.8,28.5,9.1,Kansas,20,5.1,86.3,5.3,10.8,47.6,19.3,36.2,60.9,29.8,16.7
17,94.0,65.0,42.1,6.0,Kentucky,21,4.2,81.3,14.2,7.7,33.1,52.8,17.1,43.3,57.3,7.5
18,88.1,62.5,36.3,11.9,Louisiana,22,3.6,79.7,7.9,15.0,33.5,25.0,44.6,46.9,40.2,19.8
19,91.6,68.8,37.4,8.4,Maine,23,5.7,83.1,9.1,10.5,41.1,28.3,34.2,46.3,50.5,11.5
20,93.4,74.1,31.5,6.6,Maryland,24,3.9,85.0,9.8,7.7,43.3,39.0,20.7,59.4,37.9,10.2
21,97.2,73.4,36.6,2.8,Massachusetts,25,1.1,83.8,15.5,3.4,44.7,48.7,10.5,55.4,47.7,4.2
22,93.9,71.0,38.1,6.1,Michigan,26,3.1,82.8,11.7,8.0,36.9,45.8,20.2,54.4,47.1,8.0
23,95.5,76.4,32.5,4.5,Minnesota,27,3.1,84.7,12.6,5.3,47.6,39.8,15.9,59.2,40.6,7.6
24,87.3,58.7,39.9,12.7,Mississippi,28,4.0,79.8,7.1,15.8,30.3,27.8,44.7,41.2,44.7,21.2
25,90.2,71.0,31.1,9.8,Missouri,29,5.7,84.9,5.7,11.5,42.2,22.8,37.6,53.6,37.8,15.9
26,88.4,69.7,33.0,11.6,Montana,30,7.6,81.5,6.7,14.7,48.6,22.4,34.3,55.2,33.9,18.8
27,91.8,76.4,27.3,8.2,Nebraska,31,5.3,87.3,5.5,9.7,49.2,15.5,37.2,61.4,30.9,15.1
28,87.7,64.5,33.5,12.3,Nevada,32,7.6,78.1,9.8,14.9,35.5,37.8,29.4,50.1,38.7,17.6
29,93.7,77.4,29.8,6.3,New Hampshire,33,2.7,86.8,7.0,8.3,51.4,26.6,24.5,61.1,36.7,9.1
30,91.3,71.3,30.9,8.7,New Jersey,34,3.7,81.6,8.6,11.3,47.4,30.6,24.6,58.9,34.6,12.6
31,89.1,54.6,46.6,10.9,New Mexico,35,4.5,69.1,18.7,15.6,24.4,51.2,27.1,40.3,51.3,15.4
32,92.9,65.9,38.4,7.1,New York,36,2.5,78.4,14.4,9.4,41.2,44.8,17.8,49.5,47.2,10.3
33,88.8,66.8,34.2,11.2,North Carolina,37,4.4,81.4,7.0,14.2,38.7,24.4,39.2,52.9,37.3,17.6
34,92.2,80.6,24.1,7.8,North Dakota,38,7.9,87.9,6.5,8.2,41.6,22.9,37.9,68.8,28.0,11.3
35,93.5,69.7,36.6,6.5,Ohio,39,4.4,82.6,12.1,7.8,36.0,44.8,21.9,52.0,44.9,9.3
36,86.1,64.7,33.7,13.9,Oklahoma,40,7.4,79.2,6.3,17.0,34.5,18.9,49.3,48.1,35.5,23.0
37,93.0,67.0,40.3,7.0,Oregon,41,3.6,79.2,15.2,9.2,36.0,48.0,19.3,52.2,46.0,10.0
38,93.6,73.5,34.7,6.4,Pennsylvania,42,4.1,86.6,8.3,7.4,46.2,33.6,23.8,57.5,41.3,9.6
39,94.3,70.5,36.8,5.7,Rhode Island,44,3.4,82.5,13.0,7.1,39.5,41.4,20.9,53.6,48.3,7.0
40,89.1,66.0,36.5,10.9,South Carolina,45,4.1,81.1,8.0,13.8,36.6,25.1,40.4,51.3,40.1,17.4
41,89.8,72.7,30.3,10.2,South Dakota,46,6.7,85.0,6.6,11.5,24.1,22.2,56.8,56.6,32.5,18.4
42,89.7,65.8,35.9,10.3,Tennessee,47,4.2,80.6,9.1,12.9,37.3,28.0,37.6,49.3,42.0,16.6
43,82.9,62.3,29.0,17.1,Texas,48,9.5,76.2,5.5,20.4,39.3,15.8,47.0,49.6,27.9,27.8
44,89.5,77.3,21.3,10.5,Utah,49,7.2,84.7,4.8,12.4,49.6,19.0,34.2,68.5,21.8,16.0
45,96.2,68.4,42.1,3.8,Vermont,50,1.0,79.6,17.2,5.7,34.7,49.4,17.0,51.5,51.2,4.0
46,90.9,76.1,27.2,9.1,Virginia,51,4.9,86.6,5.7,10.4,46.5,21.5,35.1,62.5,28.8,15.4
47,93.4,71.1,35.1,6.6,Washington,53,2.6,83.4,11.2,8.5,44.8,38.9,20.6,56.3,41.4,10.1
48,94.0,63.4,46.2,6.0,West Virginia,54,2.8,79.6,15.1,8.5,33.0,50.4,20.1,44.5,55.8,7.6
49,94.3,75.0,32.5,5.7,Wisconsin,55,3.6,86.2,8.9,7.1,43.1,40.3,20.1,58.0,41.4,8.2
50,88.5,74.1,26.4,11.5,Wyoming,56,7.8,82.8,6.2,13.7,47.2,11.6,42.1,64.0,25.7,17.4
51,94.3,38.6,62.2,5.7,Puerto Rico,72,2.7,63.1,29.7,9.6,18.4,71.3,11.6,27.3,70.4,5.8
