state,NAME,DP03_0096PE
01,Alabama,90.9
02,Alaska,86.0
04,Arizona,90.0
05,Arkansas,92.1
06,California,92.7
08,Colorado,92.5
09,Connecticut,95.1
10,Delaware,94.3
11,District of Columbia,96.1
12,Florida,87.5
13,Georgia,87.1
15,Hawaii,96.5
16,Idaho,89.9
17,Illinois,93.5
18,Indiana,91.9
19,Iowa,95.7
20,Kansas,91.3
21,Kentucky,94.9
22,Louisiana,89.7
23,Maine,92.0
24,Maryland,93.9
25,Massachusetts,97.5
26,Michigan,94.6
27,Minnesota,95.9
28,Mississippi,88.2
29,Missouri,91.1
30,Montana,91.9
31,Nebraska,91.4
32,Nevada,88.6
33,New Hampshire,94.1
34,New Jersey,92.0
35,New Mexico,90.8
36,New York,93.9
37,North Carolina,89.6
38,North Dakota,93.0
39,Ohio,94.4
40,Oklahoma,86.2
41,Oregon,93.8
42,Pennsylvania,94.4
44,Rhode Island,95.7
45,South Carolina,90.0
46,South Dakota,91.3
47,Tennessee,91.0
48,Texas,83.4
49,Utah,91.2
50,Vermont,96.3
51,Virginia,91.3
53,Washington,94.0
54,West Virginia,94.7
55,Wisconsin,94.7
56,Wyoming,88.5
72,Puerto Rico,93.8
