,DP03_0096PE,NAME,state
0,89.9,Alabama,01
1,85.1,Alaska,02
2,89.2,Arizona,04
3,90.5,Arkansas,05
4,91.4,California,06
5,91.9,Colorado,08
6,94.0,Connecticut,09
7,94.1,Delaware,10
8,96.2,District of Columbia,11
9,86.7,Florida,12
10,86.1,Georgia,13
11,96.0,Hawaii,15
12,89.0,Idaho,16
13,92.9,Illinois,17
14,90.4,Indiana,18
15,95.0,Iowa,19
16,90.9,Kansas,20
17,94.0,Kentucky,21
18,88.1,Louisiana,22
19,91.6,Maine,23
20,93.4,Maryland,24
21,97.2,Massachusetts,25
22,93.9,Michigan,26
23,95.5,Minnesota,27
24,87.3,Mississippi,28
25,90.2,Missouri,29
26,88.4,Montana,30
27,91.8,Nebraska,31
28,87.7,Nevada,32
29,93.7,New Hampshire,33
30,91.3,New Jersey,34
31,89.1,New Mexico,35
32,92.9,New York,36
33,88.8,North Carolina,37
34,92.2,North Dakota,38
35,93.5,Ohio,39
36,86.1,Oklahoma,40
37,93.0,Oregon,41
38,93.6,Pennsylvania,42
39,94.3,Rhode Island,44
40,89.1,South Carolina,45
41,89.8,South Dakota,46
42,89.7,Tennessee,47
43,82.9,Texas,48
44,89.5,Utah,49
45,96.2,Vermont,50
46,90.9,Virginia,51
47,93.4,Washington,53
48,94.0,West Virginia,54
49,94.3,Wisconsin,55
50,88.5,Wyoming,56
51,94.3,Puerto Rico,72
